batch_size,seq_len,status,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,estimated_mem_gb,time_sec,transferable_gb,transferable_mb,transferable_tokens_kv,bandwidth_gbps,timestamp
1,512,OK,0.90441152125597,0.5213408002257347,57.64420155790816,17.02432103693478,25.331477405157063,0.2069683197140693,0.0328918620944023,0.1539699208736419,0.0158622432500123,0.3143724805116653,0.0268916208297014,0.2291008001565933,0.0241695940494537,,0.0009044115212559701,0.011798093858701807,12.08124811131065,96.6499848904852,13.045050379629854,20260127_161939
2,512,OK,0.9019411225616932,0.5310700817406178,58.8807925989972,16.35228690715367,24.766920493849124,0.2132435204088688,0.0193819534033536,0.1474880000948906,0.0164653211832046,0.3178265613317489,0.0296963118016719,0.2233830407261848,0.0394905097782611,,0.0009019411225616932,0.011765867383277192,12.048248200475845,96.38598560380676,13.045050379629854,20260127_161939
4,512,OK,0.8688294410705566,0.5246252815425396,60.38300001621784,13.993043304133536,25.623956679648625,0.2125926403701305,0.0193535480648279,0.1215756799280643,0.0177429020404815,0.312032641172409,0.0061019249260425,0.2226284795999527,0.0201484020799398,,0.0008688294410705566,0.011333923830071058,11.605938001992763,92.8475040159421,13.045050379629854,20260127_161939
8,512,OK,0.8069043203815818,0.4919577600434422,60.96853711364408,14.022420852124132,25.009042034231783,0.1774585594609379,0.0197099260985851,0.1131475196778774,0.0021302173845469,0.3144992005825042,0.006745976395905,0.2017990406602621,0.0584596693515777,,0.0008069043203815817,0.010526107510918722,10.778734091180771,86.22987272944617,13.045050379629854,20260127_161939
16,512,OK,0.7794611189886926,0.4522156782075763,58.01645100583092,22.50055023071905,19.48299876345005,0.1684134406968951,0.0126378210261464,0.1753830406069755,0.0005048490711487,0.2838022375106812,0.0010784077458083,0.1518624001741409,0.0098311156034469,,0.0007794611189886927,0.010168109566170156,10.41214419575824,83.29715356606592,13.045050379629854,20260127_161939
32,512,OK,0.8451123186945915,0.4299046383053064,50.86952690139005,31.590896758250462,17.539576340359492,0.1689049599319696,0.0159769561141729,0.266978560090065,0.0217721350491046,0.2609996783733368,0.0057290573604404,0.14822912029922,0.0139177404344081,,0.0008451123186945915,0.011024532773816747,11.289121560388349,90.31297248310679,13.045050379629854,20260127_161939
64,512,OK,1.0868153624236585,0.4437177603691816,40.82733606007064,45.16158477057918,14.011079169350186,0.1720806401222944,0.0233836583793163,0.4908230412006378,0.0296891927719116,0.2716371202468872,0.0094194645062088,0.1522745608538389,0.0186204109340906,,0.0010868153624236584,0.014177561156172304,14.51782262392044,116.14258099136352,13.045050379629854,20260127_161939
1,1024,OK,0.9236851191520692,0.5360236795246601,58.03099653881215,17.035970022880935,24.933033438306907,0.2137689597904682,0.0343327298760414,0.1573587200045585,0.0313787460327148,0.3222547197341919,0.0259076207876205,0.2303027196228504,0.0246843360364437,,0.0009236851191520692,0.012049518914253148,12.338707368195223,98.70965894556178,13.045050379629854,20260127_161939
2,1024,OK,0.8012895999103785,0.4785574408620596,59.72340598400187,15.019228944242547,25.25736507175558,0.1918560006469488,0.012227963656187,0.1203475195169448,0.0117994071915745,0.2867014402151108,0.0035688080824911,0.2023846395313739,0.0162976384162902,,0.0008012895999103785,0.010452863199504336,10.70373191629244,85.62985533033952,13.045050379629854,20260127_161939
4,1024,OK,0.8009631994739175,0.4805228798463941,59.99312829378521,12.770783984149787,27.236087722065,0.1862528007104993,0.0365412570536136,0.1022892799973487,0.0076376260258257,0.2942700791358947,0.0063990182243287,0.2181510396301746,0.0268821492791175,,0.0008009631994739174,0.01044860528936677,10.699371816311572,85.59497453049258,13.045050379629854,20260127_161939
8,1024,OK,0.7561811193078757,0.4392191993817687,58.08386220800927,22.500768060780057,19.415369731210664,0.1790073603019118,0.0200508125126361,0.1701465597748756,0.02886782027781,0.2602118390798569,0.0015919466968625,0.1468153601512312,0.0146518507972359,,0.0007561811193078757,0.009864420797496132,10.10116689663604,80.80933517308831,13.045050379629854,20260127_161939
16,1024,OK,0.865402237996459,0.4379731185734272,50.60919643418108,32.508721038080864,16.882082527738053,0.1707782389223575,0.019381633028388,0.2813311994075775,0.0030125840567052,0.2671948796510696,0.0042863977141678,0.1460979200154543,0.0137401670217514,,0.0008654022379964589,0.011289215793308232,11.56015697234763,92.48125577878103,13.045050379629854,20260127_161939
32,1024,OK,1.0924767982587218,0.432954240553081,39.63052041408648,46.57781647380766,13.791663112105866,0.1673267198726535,0.0155614214017987,0.5088518381118774,0.0132894832640886,0.2656275206804275,0.0295194126665592,0.1506707195937633,0.0163687914609909,,0.0010924767982587217,0.014251414871861745,14.593448828786427,116.74759063029141,13.045050379629854,20260127_161939
