batch_size,seq_len,status,backend,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std
1,512,OK,flash_attn,0.7232569593191147,0.47457727901637553,65.61669029263817,8.008749748685295,26.37455995867653,0.17270783953368662,0.01475981343537569,0.05792383991181851,0.0029501665849238634,0.3018694394826889,0.0027539001312106848,0.19075584039092064,0.004327284637838602
2,512,OK,flash_attn,0.7418163185566663,0.4898591988533735,66.03510688555362,7.745744948884616,26.219148165561773,0.185962880179286,0.005277050193399191,0.0574592000246048,0.0020873865578323603,0.3038963186740875,0.0030985132325440645,0.19449791967868804,0.01582130417227745
4,512,OK,flash_attn,0.7388083208352327,0.4909702406078577,66.4543463794248,7.8535120211124365,25.692141599462754,0.18473535992205142,0.00484010623767972,0.05802240028977394,0.002653437666594982,0.3062348806858063,0.0023251643870025873,0.1898156799376011,0.006118665914982557
8,512,OK,flash_attn,0.9434675198048352,0.5872134394943713,62.239921053757286,8.850755132606364,28.90932381363635,0.2620876796543598,0.05493079870939255,0.08350399993360043,0.017723705619573593,0.3251257598400116,0.012093346565961838,0.2727500803768635,0.059175509959459305
16,512,OK,flash_attn,0.7617126405239105,0.4963065604865551,65.15666592393589,9.626559348264504,25.216774727799603,0.18115008100867272,0.004202574957162142,0.0733267194032669,0.0014279871247708797,0.3151564794778824,0.0018920720322057605,0.1920793606340885,0.004199196584522724
32,512,OK,flash_attn,0.7516147176921367,0.4636454387009144,61.686583270289916,14.251642175580725,24.061774554129364,0.15746047988533973,0.003755810670554638,0.10711744010448455,0.002168593229725957,0.30618495881557467,0.0019615422934293747,0.18085183888673784,0.005088018253445625
64,512,OK,flash_attn,0.7638912019133568,0.4714918407052755,61.7223813449227,19.70810507727329,18.569513577804006,0.15948864065110682,0.014104492962360382,0.15054848074913024,0.0003790569899138063,0.3120032000541687,0.002066735178232193,0.141850880458951,0.0028415857814252377
1,1024,OK,flash_attn,0.7207212818413973,0.4734707218408585,65.694011509022,7.965176198329357,26.34081229264864,0.17162815988063812,0.0039785439148545265,0.05740671999752522,0.00205929484218359,0.30184256196022036,0.0019379403674975038,0.1898438400030136,0.003167402697727084
2,1024,OK,flash_attn,0.7419987234473228,0.491271683499217,66.20923567317892,7.931700995366868,25.859063331454223,0.18819967977702617,0.014247458428144455,0.058853120133280756,0.003284006379544735,0.30307200372219084,0.0010067513212561607,0.19187391981482504,0.004033743403851986
4,1024,OK,flash_attn,0.7699321615695953,0.5058944010734558,65.70636042039494,8.41482972590213,25.87880985370293,0.19260352075099946,0.014059504494071007,0.06478848040103913,0.026277272030711174,0.31329088032245633,0.027651213109493256,0.1992492800951004,0.03432140499353409
8,1024,OK,flash_attn,0.7615884791314602,0.4954348793625831,65.0528327224163,9.588548362027716,25.358618915555983,0.18563071995973587,0.0035292620304971933,0.07302527964115142,0.027801455929875374,0.3098041594028473,0.0013516248436644673,0.1931283201277256,0.0043968865647912025
16,1024,OK,flash_attn,0.7737241604179144,0.48523520074784754,62.71423661964437,11.759105369098195,25.526658011257442,0.16943808041512967,0.016826089471578598,0.09098303928971291,0.002027152106165886,0.3157971203327179,0.0025518371257930994,0.19750592038035392,0.03203942999243736
32,1024,OK,flash_attn,0.7645247986912727,0.45119359910488127,59.016215023664714,22.532961631594205,18.45082334474109,0.15975679993629455,0.00816461630165577,0.1722700795531273,0.001747172442264855,0.2914367991685867,0.009459913708269596,0.14106112003326415,0.00520605081692338
64,1024,OK,flash_attn,0.8374937597662211,0.43994367934763434,52.53097998848859,30.47775317165539,16.991266839856014,0.15930815912783147,0.005814766511321068,0.25524928092956545,0.002009279327467084,0.28063552021980287,0.0009905323386192322,0.1423007994890213,0.0029417150653898716
1,2048,OK,flash_attn,0.7209388779103756,0.4650815977156162,64.51054478621604,8.21897137132448,27.27048384245948,0.17302271977066994,0.0073582991026341915,0.05925375998020172,0.00302250892855227,0.2920588779449463,0.0026044088881462812,0.19660352021455765,0.022220635786652565
2,2048,OK,flash_attn,0.7293510396778584,0.4789420794695616,65.66688102358802,8.007732465996915,26.32538651041505,0.18566143982112407,0.003467047121375799,0.058404479995369914,0.0016801850870251656,0.2932806396484375,0.002231293823570013,0.19200448021292688,0.004376894328743219
4,2048,OK,flash_attn,0.7420966393500567,0.4818444799631834,64.93015254525241,9.058442835625186,26.011404619122402,0.1855231999605894,0.003407845040783286,0.0672223998606205,0.0017481070244684815,0.296321280002594,0.002013040240854025,0.19302975952625276,0.0036912676878273487
8,2048,OK,flash_attn,0.7481152008473874,0.4689273615181446,62.68117009078178,11.443627895351645,25.87520201386657,0.16934592083096503,0.0048544458113610744,0.0856115198135376,0.002103719161823392,0.29958144068717957,0.002183514181524515,0.19357631951570511,0.003846268868073821
16,2048,OK,flash_attn,0.7633945588395,0.46088831897825006,60.373539952771594,16.292115064267968,23.334344982960427,0.15579520042985678,0.002848758827894926,0.12437311992049217,0.0017604287713766098,0.30509311854839327,0.0029929231386631727,0.17813311994075776,0.005064993631094694
32,2048,OK,flash_attn,0.8308025595545768,0.4194566398113966,50.48812560667632,33.03346582186125,16.47840857146244,0.15517632000148296,0.004081889055669308,0.27444287955760954,0.0013608679873868823,0.2642803198099136,0.0010668273316696286,0.13690304018557073,0.0033223896753042936
