batch_size,seq_len,status,backend,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,time_sec,transferable_gb,transferable_mb,transferable_tokens_kv,bandwidth_gbps,timestamp
1,512,OK,flash_attn,0.7232569593191147,0.4745772790163755,65.61669029263817,8.008749748685295,26.37455995867653,0.1727078395336866,0.0147598134353756,0.0579238399118185,0.0029501665849238,0.3018694394826889,0.0027539001312106,0.1907558403909206,0.0043272846378386,0.0007232569593191147,0.010071815677522918,10.313539253783468,82.50831403026774,13.925639494716622,20260129_092811
2,512,OK,flash_attn,0.7418163185566663,0.4898591988533735,66.03510688555362,7.745744948884616,26.219148165561773,0.185962880179286,0.0052770501933991,0.0574592000246048,0.0020873865578323,0.3038963186740875,0.003098513232544,0.194497919678688,0.0158213041722774,0.0007418163185566662,0.010330266623517999,10.57819302248243,84.62554417985945,13.925639494716622,20260129_092811
4,512,OK,flash_attn,0.7388083208352327,0.4909702406078577,66.4543463794248,7.853512021112436,25.692141599462754,0.1847353599220514,0.0048401062376797,0.0580224002897739,0.0026534376665949,0.3062348806858063,0.0023251643870025,0.1898156799376011,0.0061186659149825,0.0007388083208352327,0.010288378331648387,10.535299411607948,84.28239529286358,13.925639494716622,20260129_092811
8,512,OK,flash_attn,0.9434675198048352,0.5872134394943713,62.239921053757286,8.850755132606364,28.90932381363635,0.2620876796543598,0.0549307987093925,0.0835039999336004,0.0177237056195735,0.3251257598400116,0.0120933465659618,0.2727500803768635,0.0591755099594593,0.0009434675198048353,0.01313838855577655,13.453709881115188,107.6296790489215,13.925639494716622,20260129_092811
16,512,OK,flash_attn,0.7617126405239105,0.4963065604865551,65.15666592393589,9.626559348264504,25.216774727799603,0.1811500810086727,0.0042025749571621,0.0733267194032669,0.0014279871247708,0.3151564794778824,0.0018920720322057,0.1920793606340885,0.0041991965845227,0.0007617126405239105,0.010607335630504653,10.861911685636764,86.89529348509411,13.925639494716622,20260129_092811
32,512,OK,flash_attn,0.7516147176921367,0.4636454387009144,61.68658327028992,14.251642175580724,24.061774554129364,0.1574604798853397,0.0037558106705546,0.1071174401044845,0.0021685932297259,0.3061849588155746,0.0019615422934293,0.1808518388867378,0.0050880182534456,0.0007516147176921367,0.010466715597503902,10.717916771843996,85.74333417475196,13.925639494716622,20260129_092811
64,512,OK,flash_attn,0.7638912019133568,0.4714918407052755,61.7223813449227,19.70810507727329,18.56951357780401,0.1594886406511068,0.0141044929623603,0.1505484807491302,0.0003790569899138,0.3120032000541687,0.0020667351782321,0.141850880458951,0.0028415857814252,0.0007638912019133569,0.010637673491031192,10.89297765481594,87.14382123852752,13.925639494716622,20260129_092811
1,1024,OK,flash_attn,0.7207212818413973,0.4734707218408585,65.694011509022,7.965176198329357,26.34081229264864,0.1716281598806381,0.0039785439148545,0.0574067199975252,0.0020592948421835,0.3018425619602203,0.0019379403674975,0.1898438400030136,0.003167402697727,0.0007207212818413972,0.01003650474709335,10.277380861023591,82.21904688818873,13.925639494716622,20260129_092811
2,1024,OK,flash_attn,0.7419987234473228,0.491271683499217,66.20923567317892,7.931700995366868,25.859063331454223,0.1881996797770261,0.0142474584281444,0.0588531201332807,0.0032840063795447,0.3030720037221908,0.0010067513212561,0.191873919814825,0.0040337434038519,0.0007419987234473228,0.010332806728267354,10.58079408974577,84.64635271796617,13.925639494716622,20260129_092811
4,1024,OK,flash_attn,0.7699321615695953,0.5058944010734558,65.70636042039494,8.41482972590213,25.87880985370293,0.1926035207509994,0.014059504494071,0.0647884804010391,0.0262772720307111,0.3132908803224563,0.0276512131094932,0.1992492800951004,0.034321404993534,0.0007699321615695953,0.010721797717406096,10.979120862623843,87.83296690099074,13.925639494716622,20260129_092811
