batch_size,seq_len,status,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,estimated_mem_gb
1,512,OK,0.8283039955794811,0.48523391693830487,58.58162214934572,16.65444571357842,24.763932137075862,0.18045376032590865,0.0012379990657791495,0.13794943928718567,0.0037451349198818207,0.3047801566123962,0.007083949167281389,0.20512063935399055,0.004310201853513718,
2,512,OK,0.8488070404529571,0.5074444806575775,59.783255377663345,16.227876683332894,23.98886793900377,0.19958719968795777,0.002379893558099866,0.13774335980415345,0.002484916476532817,0.30785728096961973,0.0009873275412246585,0.20361919999122619,0.0017683592159301043,
4,512,OK,0.8195110416412352,0.5071596813201904,61.88564345692054,13.022008845463217,25.092347697616262,0.20005504071712493,0.02690107934176922,0.1067168003320694,0.006472081411629915,0.30710464060306547,0.0016480697086080909,0.20563455998897553,0.005350969266146421,
8,512,OK,0.8196863995492458,0.5077151995152235,61.94017612033351,14.50927579325694,23.55054808640955,0.1897619204968214,0.06234632804989815,0.11893056035041809,0.016503553837537766,0.3179532790184021,0.016073323786258698,0.19304063968360424,0.07180341333150864,
16,512,OK,0.7691276790201663,0.4478553587943315,58.22900033514317,22.79544538659691,18.975554278259928,0.16380287952721118,0.02666974440217018,0.1753260800242424,0.0005125061143189669,0.28405247926712035,0.0009532665717415512,0.14594624020159244,0.005109012592583895,
32,512,OK,0.842590720616281,0.42455615866929297,50.3869967092407,32.67127385371256,16.941729437046746,0.16044671881943942,0.02359590493142605,0.27528512179851533,0.01585315726697445,0.2641094398498535,0.0072679477743804455,0.1427494401484728,0.005157927516847849,
64,512,OK,1.0402124837040903,0.4205145625770092,40.42583310282913,46.18078016486889,13.393386732301963,0.15407808050513266,0.003532762872055173,0.48037824034690857,0.0010793735273182392,0.26643648207187653,0.001323665026575327,0.13931968078017234,0.0024115999694913626,
1,1024,OK,0.8208358393609525,0.4807955203950405,58.5738947228907,16.671396758835886,24.7547085182734,0.18377471968531608,0.015373578295111656,0.1368447995185852,0.0032938788644969463,0.2970208007097244,0.03739192709326744,0.20319551944732667,0.0034697107039391994,
2,1024,OK,0.8046758387982845,0.4804671986401081,59.70941035804496,14.93733431084108,25.353255331113953,0.19378559961915015,0.0069761499762535095,0.12019712015986443,0.0010741079458966851,0.28668159902095797,0.0013136466732248664,0.204011519998312,0.0013858545571565628,
4,1024,OK,0.7767443190515041,0.4593964797258377,59.14384804086043,13.977603315529027,26.878548643610547,0.16837183892726898,0.035975709557533264,0.10857023969292641,0.031921789050102234,0.2910246407985687,0.004335714038461447,0.20877759963274,0.026495343074202538,
8,1024,OK,0.7158259198069572,0.41791808053851126,58.382641501891236,23.033354183864635,18.584004314244137,0.15708351954817773,0.0024625270161777735,0.16487871944904328,0.00035658373963087797,0.26083456099033353,0.0009603214566595852,0.13302911981940269,0.002240823581814766,
16,1024,OK,0.8413011192902922,0.42434815954416993,50.43950968496786,33.10902047124527,16.451469843786885,0.15866239976137878,0.0022998685017228127,0.2785465598106384,0.0006050910451449454,0.26568575978279113,0.0009337665396742523,0.13840639993548393,0.0027236049063503742,
32,1024,OK,1.0585523192211985,0.4144979205355048,39.15705563239997,47.54623362749468,13.296710740105356,0.15598336067050694,0.0019994466565549374,0.5033017587661743,0.0012473849346861243,0.2585145598649979,0.001336267334409058,0.14075263991951942,0.009625539183616638,
64,1024,OK,1.5213849607110024,0.42411392204463483,27.8768315053167,62.90045602256756,9.222712472115735,0.15836736015975475,0.02476535178720951,0.9569580781459809,0.0009176493622362614,0.26574656188488005,0.001549022039398551,0.1403129605203867,0.004391219466924667,
1,2048,OK,0.8003788802772761,0.4707558403164148,58.81662446581929,15.258133714256829,25.925241819923876,0.17956992007791997,0.005943251308053732,0.12212287977337838,0.016254648566246033,0.2911859202384949,0.011087077669799328,0.20750016018748282,0.007904497906565666,
2,2048,OK,0.756276480667293,0.4454374399408698,58.89875611996323,14.405483040852127,26.695760839184647,0.15799167897552252,0.0031647614669054747,0.10894528016448021,0.0006419623969122767,0.2874457609653473,0.0008749830885790288,0.20189376056194305,0.0026026221457868814,
4,2048,OK,0.7039142385870217,0.4133049587905407,58.71524343933919,22.76831898473028,18.516437575930542,0.15740032061934472,0.002918336307629943,0.16026943922042847,0.0005759663181379437,0.25590463817119596,0.000852115626912564,0.13033984057605266,0.0020652294624596834,
8,2048,OK,0.8303654410690069,0.41889280021190645,50.44680082935854,33.57765958660665,15.975539584034811,0.15707584023475646,0.002524149138480425,0.278817281126976,0.00051032257033512,0.26181695997715,0.0008217458962462842,0.13265535973012446,0.0023219194263219833,
16,2048,OK,1.0682624059543013,0.4231718413159251,39.61309870657639,47.40180707621206,12.985094217211559,0.15749375980347394,0.002574942773208022,0.5063756847381592,0.001161510357633233,0.26567808151245115,0.0008997974218800664,0.13871487990021705,0.0017377474578097463,
32,2048,OK,1.4958579205721616,0.41583359986543655,27.799003778806835,62.83591423904724,9.365081982145927,0.15704959958791734,0.0035647002514451742,0.9399360001087189,0.002525363815948367,0.25878400027751924,0.0012022070586681366,0.14008832059800624,0.0030439975671470165,
64,2048,OK,2.3769823940470816,0.4216051184013486,17.73698953165228,76.36026587889056,5.902744589457158,0.1544339196756482,0.0024539451114833355,1.8150700759887695,0.0017341743223369122,0.2671711987257004,0.001165261142887175,0.14030719965696334,0.001988428644835949,
1,4096,OK,0.7613945578038692,0.4585017585754394,60.21868082402905,14.029498685365601,25.751820490605343,0.14621056020259857,0.0014289463870227337,0.10681983947753906,0.0005405758274719119,0.31229119837284086,0.0013941924553364515,0.19607295975089073,0.01611671969294548,
2,4096,OK,0.722842238843441,0.4102393577992916,56.753650486125586,25.373879797019207,17.872469716855214,0.15621823951601982,0.002197395544499159,0.1834131208062172,0.0006209277198649943,0.2540211182832718,0.0007498065824620426,0.12918976023793222,0.0032644271850585938,
4,4096,OK,0.8270988807082176,0.4196531208232045,50.737962607792355,33.32832950786504,15.93370788434261,0.16034496147185565,0.012759148143231869,0.27565824031829833,0.0009418347617611289,0.2593081593513489,0.022854307666420937,0.13178751956671475,0.012511505745351315,
8,4096,OK,1.0571155213564634,0.41692032270133494,39.43942873588249,48.10415401771776,12.456417246399765,0.1567526411265135,0.0034500528126955032,0.5085164785385132,0.0008424344705417752,0.26016768157482145,0.0008307568496093154,0.1316787201166153,0.0019831459503620863,
16,4096,OK,1.612087040953338,0.5137657636776567,31.86960447084989,59.604126370415024,8.526269158735094,0.24671680454164743,0.640132486820221,0.9608703970909118,0.0015963115729391575,0.26704895913600923,0.0008578968700021505,0.13745088018476964,0.0021744868718087673,
32,4096,OK,2.374264313429594,0.41365119829773905,17.42228933644819,76.73295616905934,5.844754494492477,0.15440512016415597,0.002266812836751342,1.821843194961548,0.0030079795978963375,0.2592460781335831,0.001262478530406952,0.13876992017030715,0.0011831654701381922,
64,4096,OK,4.172216950841249,0.4238547230884433,10.158980898703769,86.38578170930802,3.455237391988194,0.1567129613086581,0.01500043272972107,3.6042022275924683,0.004026005510240793,0.26714176177978516,0.001135311322286725,0.1441600001603365,0.019528541713953018,
1,8192,OK,0.724613118879497,0.4243123199045658,58.5570849946382,24.105464669245915,17.33745033611589,0.14682495966553688,0.0022394219413399696,0.17467135936021805,0.0010534592438489199,0.2774873602390289,0.0008531861240044236,0.12562943961471318,0.00211210735142231,
2,8192,OK,0.8200287974998355,0.41718271777033805,50.87415454704464,33.37974474543019,15.746100707525176,0.16140352055430413,0.013715268112719059,0.27372351944446566,0.0005440960521809757,0.2557791972160339,0.0007984237745404243,0.1291225602850318,0.0017660257872194052,
