batch_size,seq_len,status,backend,total_ms,linear_total_ms,linear_pct,attention_pct,other_pct,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,estimated_mem_gb
1,512,OK,manual,0.8901472009718419,0.487858559191227,54.80650376236587,23.667816026091312,21.525680211542817,0.18462335973978042,0.004483186639845371,0.21067840188741685,0.005817129276692867,0.30323519945144656,0.002853627782315016,0.191610239893198,0.005064267199486494,
2,512,OK,manual,0.902922879010439,0.5062809580564499,56.07134006963142,23.027437445936478,20.901222484432097,0.2000703990459442,0.010194340720772743,0.20792000114917755,0.010518312454223633,0.3062105590105057,0.003629021579399705,0.18872191980481148,0.008541936986148357,
4,512,OK,manual,0.9114463984966277,0.5091155190765857,55.85797693823126,23.033771348930348,21.108251712838396,0.19897599950432776,0.0062731304205954075,0.20994047939777374,0.006695976015180349,0.310139519572258,0.015752680599689484,0.1923904000222683,0.004952855408191681,
8,512,OK,manual,1.0525311997160316,0.5293907196447253,50.29691469360268,30.431842782609227,19.271242523788082,0.20662527989596127,0.05969518795609474,0.32030463993549346,0.012033809907734394,0.32276543974876404,0.03157751262187958,0.20283584013581277,0.07649707794189453,
16,512,OK,manual,1.1158662414178253,0.4473452803865075,40.08950748596071,47.28601164603877,12.624480868000509,0.1628697595372796,0.0062856669537723064,0.527648640871048,0.003009673673659563,0.2844755208492279,0.024511288851499557,0.14087232016026974,0.004904116969555616,
32,512,OK,manual,1.5170816035196184,0.4323417614027858,28.498253515154097,62.12572349407538,9.376022990770528,0.1616064004227519,0.004100441001355648,0.9424979221820832,0.04233716055750847,0.27073536098003387,0.005005176179111004,0.1422419199347496,0.005678701680153608,
64,512,OK,manual,2.1465388704463844,0.42421311724931005,19.762657135628416,73.7875477113462,6.449795153025358,0.1595225601270795,0.005309842061251402,1.5838783931732179,0.012583672069013119,0.26469055712223055,0.0008843820542097092,0.13844736002385616,0.004103586543351412,
1,1024,OK,manual,0.8801068821549416,0.4748800022900105,53.95708315872577,24.416525367509156,21.626391473765068,0.1869459207355976,0.005336799658834934,0.21489152014255525,0.027608247473835945,0.28793408155441286,0.006335682701319456,0.19033535972237586,0.006441778037697077,
2,1024,OK,manual,0.895418879389763,0.49767103865742685,55.579690144192035,23.19611589203158,21.224193963776376,0.20311359956860542,0.04104721546173096,0.2077024009823799,0.010203653015196323,0.2945574390888214,0.034549012780189514,0.19004543974995614,0.008528253994882107,
4,1024,OK,manual,0.9087494398653507,0.4508819191157818,49.615647541151596,30.760725529939513,19.62362692890889,0.16079552039504053,0.030943488702178,0.27953792095184327,0.0354917086660862,0.29008639872074127,0.01019393652677536,0.17832959979772567,0.019904866814613342,
